"id","disciplina","professor","carga_horaria","laboratorio"
"1","Banco de Dados","Marcos Lima","80","Laboratório 1"
"8","Empreendedorismo","Renato Vasconcelos","40","Laboratório 3"
"5","Engenharia de Software","Rafael Melo","60","Laboratório 2"
"9","Fundamentos de Administração","Camila Torres","60","Laboratório 2"
"4","Lógica de Programação","Patrícia Gomes","80","Laboratório 1"
"2","Programação Web","Fernanda Oliveira","80","Laboratório 1"
"10","Projeto Integrador","Fernanda Oliveira","100","Laboratório 4"
"3","Redes de Computadores","Carlos Souza","60","Laboratório 2"
"6","Segurança da Informação","André Barros","60","Laboratório 2"
"7","Sistemas Operacionais","Luciana Freire","60","Laboratório 2"
